aX,aY,aZ,gX,gY,gZ
-0.021,-0.018,1.000,0.977,0.732,-0.122
-0.020,-0.019,1.000,0.854,0.610,-0.305
-0.021,-0.020,1.000,1.038,0.732,-0.183
-0.024,-0.022,1.001,1.160,0.610,-0.244
-0.026,-0.022,1.002,0.977,0.671,-0.122
-0.029,-0.020,1.001,0.916,0.793,-0.061
-0.030,-0.019,1.001,0.793,0.916,-0.244
-0.029,-0.020,1.001,0.854,0.671,-0.183
-0.029,-0.020,1.001,0.854,0.671,-0.183
-0.029,-0.020,1.001,0.793,0.549,-0.061
-0.026,-0.019,1.002,0.732,0.610,-0.122
-0.024,-0.020,1.001,0.977,0.732,-0.061
-0.023,-0.018,1.000,0.854,0.671,-0.061
-0.022,-0.017,1.001,0.854,0.488,-0.122
-0.022,-0.020,1.001,0.854,0.671,-0.183
-0.022,-0.021,1.001,0.793,0.732,-0.122
-0.024,-0.021,1.001,0.854,0.732,-0.061
-0.027,-0.019,1.001,1.038,0.671,-0.122
-0.030,-0.018,1.001,0.854,0.610,-0.183
-0.031,-0.019,1.001,0.793,0.610,-0.183
-0.031,-0.022,1.001,0.854,0.732,-0.061
-0.029,-0.026,1.001,0.916,0.732,-0.122
-0.027,-0.027,1.001,0.793,0.671,-0.183
-0.024,-0.025,1.001,0.916,0.793,-0.061
-0.023,-0.021,1.000,0.916,0.793,-0.183
-0.021,-0.018,1.003,0.793,0.671,-0.183
-0.021,-0.016,1.001,0.854,0.610,-0.183
-0.019,-0.018,1.000,0.793,0.610,-0.183
-0.018,-0.021,1.003,0.732,0.610,-0.122
-0.019,-0.023,0.999,0.916,0.793,-0.244
-0.019,-0.024,1.004,0.916,0.793,-0.366
-0.023,-0.023,1.001,0.916,0.732,-0.244
-0.026,-0.021,1.001,0.854,0.671,-0.244
-0.030,-0.018,1.001,0.916,0.732,-0.244
-0.031,-0.017,1.001,0.671,0.732,-0.305
-0.033,-0.017,1.001,0.916,0.793,-0.183
-0.034,-0.018,1.001,1.099,0.793,-0.122
-0.033,-0.018,1.001,0.977,0.671,-0.183
-0.031,-0.020,1.002,0.916,0.610,-0.122

0.203,-0.244,0.999,0.916,1.892,-31.311
-0.377,0.237,0.990,1.038,1.953,-65.613
-0.285,0.245,1.000,2.197,1.526,-68.665
-0.201,0.014,1.002,1.831,1.221,-45.593
-0.234,-0.073,1.007,1.587,1.099,-22.522
-0.279,-0.046,1.001,1.526,1.160,-10.071
-0.329,0.063,1.000,1.404,1.221,-6.531
-0.226,0.150,1.000,1.526,1.160,-5.249
-0.058,-0.108,1.014,0.916,1.160,-3.357
-0.240,-0.088,1.074,2.563,0.732,-5.859
-0.150,-0.163,1.095,7.874,-2.197,-17.517
-0.106,-0.100,1.144,-3.296,-4.761,-40.894
-0.156,0.095,1.194,-6.226,-7.507,-59.998
-0.131,0.155,1.249,3.906,-14.282,-55.420
-0.134,0.108,1.239,3.906,-21.851,-34.790
-0.233,0.011,1.136,3.784,-27.893,-13.916
-0.293,0.004,0.969,6.714,-32.532,-2.014
-0.308,0.035,0.841,8.606,-33.142,3.601
-0.291,0.066,0.835,13.367,-28.259,5.676
-0.219,0.102,0.911,19.470,-20.142,4.517
-0.167,0.152,0.977,17.151,-13.977,0.854
-0.179,0.152,0.971,5.554,-9.766,-1.648
-0.227,0.092,0.945,-9.277,-4.395,-1.892
-0.249,0.007,0.948,-20.935,4.395,-1.770
-0.214,-0.028,0.990,-26.245,13.550,-3.479
-0.181,-0.038,1.034,-24.414,19.836,-5.188
