aX,aY,aZ,gX,gY,gZ
-0.023,-0.019,1.001,0.977,0.854,-0.183
-0.025,-0.022,1.002,0.977,0.732,-0.183
-0.024,-0.023,1.001,1.099,0.977,-0.122
-0.026,-0.023,1.001,0.793,0.732,-0.122
-0.027,-0.022,1.001,0.854,0.732,-0.122
-0.026,-0.020,1.001,0.793,0.854,-0.122
-0.027,-0.018,1.001,0.732,0.671,0.000
-0.027,-0.017,1.003,0.732,0.671,-0.183
-0.026,-0.016,1.001,0.732,0.854,-0.061
-0.025,-0.014,1.001,0.671,0.854,-0.183
-0.025,-0.014,1.001,0.854,0.732,-0.183
-0.024,-0.016,1.001,1.038,0.793,-0.244
-0.022,-0.018,1.001,0.916,0.549,-0.305
-0.022,-0.018,1.002,0.732,0.671,-0.305
-0.023,-0.021,1.001,0.977,0.854,-0.122
-0.022,-0.022,1.001,0.854,0.732,-0.183
-0.022,-0.021,1.001,0.854,0.977,-0.183
-0.022,-0.022,1.001,0.916,1.038,-0.183
-0.023,-0.020,1.001,0.793,0.854,-0.122
-0.026,-0.019,1.002,0.793,0.732,-0.244
-0.026,-0.016,1.001,0.977,0.854,-0.183
-0.026,-0.016,1.001,1.038,0.671,-0.122
-0.027,-0.014,1.001,0.854,0.671,-0.244
-0.026,-0.015,1.001,0.793,0.427,-0.244
-0.025,-0.017,1.001,0.977,0.671,-0.183
-0.026,-0.018,1.001,0.977,0.610,-0.122
-0.024,-0.019,1.001,1.099,0.671,-0.061
-0.022,-0.021,1.001,1.160,0.732,-0.183
-0.022,-0.021,1.002,0.916,0.732,-0.122
-0.021,-0.021,1.001,0.977,0.793,-0.122
-0.022,-0.020,1.001,1.038,0.488,-0.183
-0.022,-0.019,1.001,0.916,0.549,-0.183
-0.023,-0.018,1.001,0.916,0.671,-0.183
-0.023,-0.016,1.001,0.793,0.854,-0.244
-0.025,-0.016,1.001,0.793,0.732,-0.122
-0.026,-0.016,1.001,0.977,0.793,-0.244
-0.027,-0.016,1.002,0.916,0.854,-0.244
-0.026,-0.017,1.001,0.793,0.671,-0.122
-0.026,-0.017,1.001,0.977,0.854,0.000
-0.028,-0.018,1.001,0.977,0.854,-0.183
-0.027,-0.020,1.001,0.916,0.854,-0.305
-0.025,-0.020,1.001,0.977,0.671,-0.244
-0.024,-0.021,1.001,1.038,0.854,-0.366
-0.024,-0.019,1.001,0.916,0.854,-0.122
-0.023,-0.021,1.001,1.038,0.854,-0.061
-0.021,-0.018,1.002,0.854,0.854,-0.061
-0.022,-0.017,1.001,0.854,0.793,-0.183
-0.022,-0.016,1.001,0.977,0.671,-0.061
-0.022,-0.013,1.001,0.793,0.793,-0.122
-0.022,-0.016,1.001,1.038,0.977,-0.244
-0.024,-0.016,1.001,1.099,0.793,-0.183

0.039,1.541,1.001,2.625,-0.366,70.862
0.146,1.722,0.994,2.930,-0.366,74.463
0.183,1.694,0.990,3.479,-0.305,76.599
0.155,1.398,0.997,1.953,-0.061,60.547
0.045,1.084,1.000,-0.916,0.793,32.288
-0.086,0.637,1.007,-1.465,0.916,-4.272
-0.087,0.452,1.003,0.305,1.953,-50.171
-0.093,0.400,0.997,0.916,3.052,-92.834
-0.149,0.206,0.995,1.343,3.052,-116.882
-0.244,-0.009,1.006,1.282,2.197,-121.765
-0.222,-0.291,1.008,1.587,2.075,-112.915
-0.279,-0.579,1.000,2.808,2.075,-98.938
-0.128,-0.651,0.999,3.662,2.197,-83.496
-0.076,-0.784,0.998,4.578,2.319,-67.444
-0.003,-0.775,1.012,1.892,2.441,-51.819
0.067,-0.776,1.010,-1.099,1.404,-35.645
0.050,-0.905,1.014,-3.662,1.282,-20.142
0.028,-1.001,1.001,-1.587,0.793,-10.254
-0.027,-1.030,1.014,0.122,0.488,-7.141
-0.077,-1.080,0.999,1.831,0.244,-7.812
-0.015,-0.821,1.007,1.221,0.793,-8.179
-0.078,-0.702,1.002,1.587,0.793,-3.479
-0.057,-0.828,1.002,1.526,0.793,5.432
-0.057,-0.801,1.004,1.282,0.671,7.385
-0.078,-0.577,1.007,1.709,0.427,3.418
-0.096,-0.416,0.999,1.587,0.427,5.554
-0.066,-0.397,1.002,1.587,0.732,14.160
-0.066,-0.414,1.005,1.465,0.427,21.667
-0.062,-0.395,1.002,1.404,0.488,24.048
-0.056,-0.342,1.001,1.160,0.549,20.264
-0.055,-0.318,1.002,1.038,0.427,12.939
-0.085,-0.281,1.001,0.916,0.610,4.395
-0.083,-0.249,1.000,0.671,0.854,0.244
-0.076,-0.200,1.001,0.122,0.916,2.380
-0.069,-0.177,1.002,0.061,0.916,8.240
-0.097,-0.306,1.002,0.061,0.854,11.719
-0.067,-0.357,1.003,-0.122,0.793,9.583
-0.025,-0.032,1.001,0.732,0.610,2.136
-0.065,0.165,0.999,0.793,0.488,0.610
0.016,-0.189,1.004,-1.770,1.160,3.723
-0.019,-0.044,1.001,-0.732,1.160,1.343
-0.027,-0.029,1.001,0.854,0.977,-0.366
-0.027,-0.028,1.001,0.488,0.854,-0.244
-0.028,-0.025,1.001,0.793,0.854,-0.183
-0.026,-0.023,1.001,0.793,0.793,-0.122
-0.027,-0.017,1.001,0.732,0.732,-0.183
-0.026,-0.015,1.001,0.793,0.793,-0.183
-0.025,-0.012,1.001,0.916,0.793,-0.244
-0.024,-0.012,1.001,0.854,0.732,-0.061
-0.023,-0.012,1.000,0.793,0.610,-0.122
-0.022,-0.014,1.001,0.793,0.732,-0.122
-0.023,-0.016,1.001,0.793,0.793,-0.122
-0.024,-0.017,1.001,0.671,0.793,-0.122
-0.025,-0.020,1.001,0.793,0.916,-0.366
-0.025,-0.021,1.001,0.610,0.793,-0.305
-0.025,-0.023,1.001,0.671,0.793,-0.366
-0.026,-0.023,1.001,0.854,0.916,-0.244
-0.026,-0.023,1.001,0.854,0.854,-0.183
-0.026,-0.022,1.001,0.854,0.671,-0.244
-0.025,-0.019,1.001,1.038,0.977,-0.122
-0.025,-0.017,1.002,0.916,0.793,-0.122
-0.024,-0.015,1.001,0.854,0.610,-0.244
-0.022,-0.013,1.001,0.793,0.793,-0.183
-0.022,-0.012,1.001,0.732,0.732,-0.244
-0.022,-0.014,1.000,0.793,0.916,-0.122
-0.022,-0.016,1.001,0.977,0.977,-0.122
-0.023,-0.018,1.001,0.916,0.732,-0.244
-0.024,-0.020,1.001,0.854,0.732,-0.244
-0.025,-0.021,1.001,0.977,0.916,-0.183
-0.026,-0.021,1.001,0.916,0.671,-0.122
-0.027,-0.021,1.001,1.099,0.732,-0.244
-0.026,-0.019,1.001,1.099,0.916,-0.183
-0.027,-0.018,1.001,1.038,0.854,-0.183
-0.027,-0.016,1.001,1.038,0.610,-0.183
-0.026,-0.015,1.001,0.977,0.732,-0.244
-0.025,-0.015,1.001,1.038,0.732,-0.366
-0.024,-0.016,1.002,0.916,0.732,-0.183
-0.022,-0.015,1.001,1.099,0.671,0.000
-0.022,-0.016,1.001,0.977,0.671,0.000
-0.021,-0.017,1.001,0.793,0.854,-0.183
-0.023,-0.018,1.001,0.854,0.732,-0.122
-0.023,-0.018,1.001,0.977,0.671,-0.183
-0.024,-0.020,1.002,1.038,0.732,-0.122
-0.024,-0.020,1.001,1.221,0.793,0.000
-0.024,-0.019,1.001,1.160,0.793,-0.061
-0.026,-0.018,1.001,1.099,0.671,-0.305
-0.026,-0.017,1.001,1.099,0.916,-0.244
-0.026,-0.016,1.001,1.160,0.793,-0.244
-0.025,-0.017,1.003,1.160,0.671,-0.305
-0.025,-0.017,1.001,1.160,0.977,-0.122
-0.024,-0.017,1.001,1.099,0.854,-0.122
