aX,aY,aZ,gX,gY,gZ
-0.024,-0.024,1.001,0.977,0.854,0.305
-0.022,-0.020,1.001,1.099,0.916,0.305
-0.023,-0.015,1.000,0.916,0.916,0.427
-0.021,-0.010,1.000,0.916,0.916,0.488
-0.020,-0.012,1.000,0.916,0.854,0.427
-0.018,-0.015,1.001,0.977,0.732,0.427
-0.017,-0.016,1.001,1.038,0.854,0.244
-0.018,-0.020,1.001,1.160,0.854,0.000
-0.020,-0.023,1.001,1.160,0.916,-0.183
-0.022,-0.024,1.001,1.221,0.977,-0.122
-0.024,-0.023,1.001,0.977,0.916,-0.183
-0.027,-0.022,1.001,0.854,0.977,-0.244
-0.029,-0.021,1.000,0.977,0.916,-0.244
-0.029,-0.019,1.001,1.038,0.732,-0.244
-0.029,-0.018,1.001,0.916,0.732,-0.122
-0.026,-0.018,1.001,1.038,0.854,-0.183
-0.023,-0.017,1.001,1.038,0.732,-0.122
-0.021,-0.015,1.000,1.038,0.793,-0.061
-0.021,-0.013,1.000,0.977,0.854,-0.183
-0.021,-0.014,1.000,1.038,0.916,-0.244
-0.022,-0.015,1.001,0.916,0.732,-0.305
-0.021,-0.016,1.001,1.282,0.793,-0.183
-0.022,-0.019,1.001,1.160,0.916,-0.122
-0.021,-0.022,1.000,1.160,0.916,-0.183
-0.023,-0.025,1.001,1.038,0.916,-0.183
-0.024,-0.024,1.001,1.038,0.854,-0.244
-0.026,-0.022,1.002,1.038,0.854,-0.427
-0.027,-0.019,1.001,1.160,0.916,-0.305
-0.028,-0.016,1.001,1.221,0.793,-0.305
-0.028,-0.015,1.001,1.099,0.732,-0.244
-0.026,-0.014,1.001,1.160,0.671,-0.305
-0.024,-0.015,1.000,1.038,0.671,-0.427
-0.022,-0.016,1.001,0.977,0.854,-0.366
-0.020,-0.017,1.001,1.282,0.916,-0.244
-0.020,-0.019,1.001,1.099,0.916,-0.183
-0.020,-0.019,1.001,0.977,0.793,-0.183
-0.022,-0.019,1.000,1.099,0.977,-0.305
-0.023,-0.019,1.000,1.099,0.793,-0.183
-0.024,-0.020,1.002,1.160,0.854,-0.061
-0.024,-0.020,1.001,1.282,0.977,-0.061
-0.024,-0.020,1.001,1.221,0.916,-0.061
-0.026,-0.018,1.001,1.221,0.916,-0.061
-0.025,-0.018,1.000,1.038,0.916,-0.122
-0.026,-0.017,1.000,1.221,0.854,-0.305
-0.025,-0.016,1.001,1.099,0.610,-0.183
-0.025,-0.016,1.001,1.282,0.671,-0.244
-0.024,-0.016,1.001,1.160,0.793,-0.183
-0.023,-0.017,1.001,1.099,0.732,-0.305
-0.021,-0.019,1.001,1.099,0.793,-0.122
-0.020,-0.021,1.001,1.038,0.793,-0.122
-0.020,-0.021,1.001,1.099,0.671,-0.427
-0.021,-0.021,1.001,1.282,0.732,-0.244
