aX,aY,aZ,gX,gY,gZ
-1.235,-0.270,1.114,5.432,2.563,-77.820
-1.264,-0.372,0.970,2.991,-7.996,-87.402
-0.803,-0.787,0.983,2.991,-6.653,-73.792
-0.717,-0.987,0.985,-4.517,-0.305,-54.138
-0.410,-0.896,0.981,-3.357,2.441,-42.725
-0.121,-0.838,1.006,1.465,2.380,-27.283
0.238,-0.671,1.049,3.601,-0.305,-6.470
0.473,-0.586,0.998,1.221,-4.333,15.686
0.693,-0.305,1.001,0.732,-4.150,29.480
0.872,-0.242,1.000,-1.221,-2.136,43.457
1.149,0.111,1.076,-0.671,-2.075,45.166
1.291,0.328,0.975,0.977,-2.930,30.579
1.374,0.393,1.002,-2.075,-1.709,17.151
1.411,0.349,0.992,-0.977,-1.038,-1.099
1.298,0.239,0.993,-2.319,0.366,-26.550
1.243,0.111,0.999,-1.587,1.282,-45.410
1.133,-0.033,1.000,1.709,0.977,-49.988
1.020,-0.073,1.011,1.953,1.648,-46.753
0.980,-0.088,1.015,0.793,1.404,-39.063
0.869,-0.069,1.007,0.427,0.793,-27.649
0.748,-0.070,0.999,0.793,0.488,-16.785
0.750,-0.085,1.000,0.916,0.366,-7.080
0.690,-0.085,1.000,0.793,0.183,-0.488
0.592,-0.052,1.001,0.916,0.061,3.540
0.529,-0.010,1.002,0.916,-0.061,4.761
0.476,0.006,0.998,1.099,0.366,5.371
0.433,0.024,1.001,0.793,0.366,5.310
0.387,0.034,1.001,0.793,0.305,5.554
0.332,0.030,1.001,0.854,0.427,5.615
0.318,0.018,1.000,0.854,0.488,5.798
0.194,-0.036,1.001,1.038,0.793,5.310
-0.013,-0.018,1.001,1.343,0.610,1.465
-0.026,-0.021,1.001,2.136,0.366,-0.061
-0.026,-0.020,1.001,2.380,0.244,0.000
-0.024,0.011,1.000,2.075,0.305,0.122
-0.026,-0.010,1.002,1.099,0.671,2.319
-0.030,-0.037,1.005,0.610,0.854,4.395
-0.031,-0.016,1.001,1.282,0.732,2.747
-0.028,-0.010,1.001,1.282,0.671,2.319
-0.032,-0.034,1.001,0.671,0.793,3.052
-0.034,-0.033,1.000,0.671,0.793,2.319
-0.035,-0.032,1.001,0.549,0.610,1.404
-0.035,-0.030,1.002,0.610,0.671,0.671
-0.032,-0.022,1.001,0.671,0.732,0.061
-0.032,-0.017,1.001,0.732,0.854,-0.305
-0.032,-0.016,1.001,0.793,0.854,-0.305
-0.034,-0.015,1.001,0.549,0.732,-0.122
-0.033,-0.017,1.001,0.488,0.732,-0.122
-0.033,-0.017,1.001,0.610,0.732,-0.122
-0.033,-0.019,1.000,0.732,0.977,-0.061
-0.032,-0.021,1.000,0.671,1.099,-0.061
-0.031,-0.022,1.001,0.549,0.793,-0.183
-0.030,-0.023,1.001,0.488,0.854,-0.244
-0.029,-0.024,1.001,0.183,0.854,-0.183
-0.027,-0.024,1.000,0.244,0.793,-0.244
-0.028,-0.022,1.000,0.244,0.732,-0.305
-0.026,-0.021,1.000,0.244,0.671,-0.549
-0.027,-0.016,1.001,0.427,0.732,-0.549
-0.027,-0.015,1.001,0.610,0.610,-0.610
-0.029,-0.016,1.001,0.793,0.793,-0.305
-0.030,-0.017,1.001,0.854,0.549,-0.122
-0.032,-0.017,1.002,1.099,0.671,-0.061
-0.032,-0.018,1.001,0.854,0.549,-0.183
-0.033,-0.019,1.001,0.854,0.549,-0.183
-0.033,-0.028,1.001,0.854,0.732,-0.183
-0.025,-0.055,1.001,0.977,0.732,-0.977
-0.036,0.004,1.000,1.648,0.549,-2.380
-0.032,-0.019,1.001,1.038,0.732,-0.732
-0.031,-0.021,1.001,0.916,0.854,-0.122
-0.031,-0.018,1.000,0.732,0.732,-0.122
-0.030,-0.017,1.000,0.854,0.793,-0.061
-0.030,-0.016,1.000,0.916,0.732,-0.183
-0.029,-0.014,1.001,1.038,0.610,-0.183
-0.029,-0.016,1.000,1.160,0.732,-0.122
-0.030,-0.019,1.000,1.160,0.793,-0.122
-0.029,-0.020,1.001,0.916,0.732,-0.061
-0.031,-0.021,1.000,0.916,0.610,-0.122
-0.030,-0.022,1.000,0.977,0.549,-0.122
-0.030,-0.023,1.001,0.916,0.671,-0.122
-0.031,-0.023,1.001,0.916,0.671,-0.305
-0.031,-0.023,1.001,1.099,0.793,-0.183
-0.031,-0.021,1.001,0.916,0.732,-0.061
-0.031,-0.020,1.000,0.854,0.610,0.000
-0.032,-0.018,1.001,0.854,0.732,0.061
-0.032,-0.016,1.000,0.793,0.671,-0.061
-0.032,-0.016,1.000,0.916,0.610,-0.244
-0.033,-0.015,1.001,0.977,0.793,-0.305
-0.032,-0.015,1.002,0.977,0.732,-0.244
-0.030,-0.018,1.001,1.038,0.793,-0.183
-0.029,-0.021,1.001,1.099,0.671,-0.183
-0.027,-0.023,1.001,1.038,0.610,-0.244
-0.027,-0.026,1.001,1.038,0.610,-0.061
-0.027,-0.027,1.001,1.099,0.671,-0.122
-0.026,-0.025,1.001,1.038,0.732,-0.122
-0.027,-0.022,1.001,0.793,0.671,-0.061
-0.029,-0.020,1.001,0.916,0.732,-0.183
-0.033,-0.034,1.001,1.099,0.671,-0.244
-0.037,-0.012,1.001,1.892,0.549,-1.587
-0.024,-0.002,0.998,2.625,0.366,-1.709
-0.033,-0.014,1.000,1.648,0.549,-0.427
-0.034,-0.015,1.000,1.404,0.549,-0.244
-0.033,-0.018,1.001,1.282,0.427,-0.183
-0.032,-0.020,1.001,1.160,0.610,-0.122
-0.032,-0.022,1.001,1.404,0.488,-0.122
-0.031,-0.024,1.000,1.709,0.488,-0.061
-0.029,-0.023,1.001,1.526,0.549,-0.122
-0.029,-0.025,1.001,1.404,0.610,-0.061
-0.029,-0.026,1.000,1.709,0.366,-0.183
-0.029,-0.024,1.000,1.465,0.427,-0.122
-0.029,-0.021,0.999,0.916,0.610,-0.122
-0.030,-0.017,1.001,0.671,0.854,-0.061
-0.032,-0.017,1.001,0.854,0.610,-0.122

-1.470,0.494,1.000,-2.625,1.099,-26.184
-1.436,0.418,0.991,-2.319,0.854,-8.240
-1.500,0.374,0.990,-2.136,0.854,-4.944
-1.371,0.286,0.997,-2.136,0.671,-14.160
-1.312,0.201,0.978,-1.160,0.061,-31.311
-1.172,-0.023,0.952,1.404,1.892,-48.523
-1.219,-0.122,1.113,4.150,9.583,-64.209
-0.922,-0.236,1.058,3.967,5.493,-76.233
-1.131,-0.317,0.997,0.244,-5.005,-71.228
-0.745,-0.437,0.994,4.944,-8.606,-59.692
-0.647,-0.554,0.995,0.061,-2.075,-43.457
-0.510,-0.553,0.995,-2.686,0.610,-30.212
-0.315,-0.465,0.983,-2.014,2.380,-22.217
-0.090,-0.463,1.001,1.221,1.587,-15.320
0.085,-0.318,1.060,3.479,0.122,-10.742
0.204,-0.268,1.014,0.488,-2.502,-5.920
0.448,-0.207,1.021,1.404,-3.967,-1.404
0.558,-0.099,1.018,0.732,-1.953,1.160
